program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Asterisk,c,0.00,1,100,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,1,100,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,1,100,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,1,100,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,1,1000,0.024,0.025,0.017,0.254,0.000,0.000,0,9
Asterisk,c,0.00,1,1000,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,1,1000,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,1,1000,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,1,1000,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,1,2,0.024,0.025,0.017,0.254,0.000,0.000,0,9
Asterisk,c,0.00,1,2,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,1,2,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,1,2,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,1,2,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,1,3,0.024,0.025,0.017,0.254,0.000,0.000,0,9
Asterisk,c,0.00,1,3,0.024,0.023,0.027,0.280,0.000,0.000,1,10
Asterisk,c,0.00,1,3,0.024,0.022,0.031,0.263,0.000,0.000,2,9
Asterisk,c,0.00,1,3,0.024,0.027,0.010,0.263,0.000,0.000,3,11
Asterisk,c,0.00,1,3,0.024,0.021,0.034,0.205,0.000,0.000,4,7
Asterisk,c,0.00,10,1,0.024,0.025,0.017,0.481,0.000,0.000,0,39
Asterisk,c,0.00,10,1,0.024,0.023,0.027,0.537,0.143,0.147,1,32
Asterisk,c,0.00,10,1,0.024,0.022,0.031,0.520,0.072,0.137,2,35
Asterisk,c,0.00,10,1,0.024,0.027,0.010,0.540,0.000,0.000,3,40
Asterisk,c,0.00,10,1,0.024,0.021,0.034,0.464,0.000,0.066,4,29
Asterisk,c,0.00,100,1,0.024,0.025,0.017,0.694,0.000,0.139,0,74
Asterisk,c,0.00,100,1,0.024,0.023,0.027,0.670,0.000,0.225,1,67
Asterisk,c,0.00,100,1,0.024,0.022,0.031,0.690,0.077,0.203,2,65
Asterisk,c,0.00,100,1,0.024,0.027,0.010,0.783,0.208,0.217,3,80
Asterisk,c,0.00,100,1,0.024,0.021,0.034,0.657,0.069,0.151,4,61
Asterisk,c,0.00,1000,1,0.024,0.025,0.017,0.850,0.000,0.227,0,78
Asterisk,c,0.00,1000,1,0.024,0.023,0.027,0.833,0.098,0.224,1,73
Asterisk,c,0.00,1000,1,0.024,0.022,0.031,0.861,0.083,0.220,2,71
Asterisk,c,0.00,1000,1,0.024,0.027,0.010,0.821,0.185,0.208,3,85
Asterisk,c,0.00,1000,1,0.024,0.021,0.034,0.806,0.075,0.150,4,66
Asterisk,c,0.00,11,4,0.024,0.025,0.017,0.366,0.000,0.000,0,15
Asterisk,c,0.00,11,4,0.024,0.023,0.027,0.387,0.000,0.000,1,15
Asterisk,c,0.00,11,4,0.024,0.022,0.031,0.366,0.000,0.000,2,14
Asterisk,c,0.00,11,4,0.024,0.027,0.010,0.371,0.000,0.000,3,17
Asterisk,c,0.00,11,4,0.024,0.021,0.034,0.294,0.000,0.000,4,10
Asterisk,c,0.00,2,1,0.024,0.025,0.017,0.366,0.000,0.000,0,15
Asterisk,c,0.00,2,1,0.024,0.023,0.027,0.387,0.000,0.000,1,15
Asterisk,c,0.00,2,1,0.024,0.022,0.031,0.366,0.000,0.000,2,14
Asterisk,c,0.00,2,1,0.024,0.027,0.010,0.371,0.000,0.000,3,17
Asterisk,c,0.00,2,1,0.024,0.021,0.034,0.294,0.000,0.000,4,10
Asterisk,c,0.00,3,1,0.024,0.025,0.017,0.419,0.000,0.000,0,18
Asterisk,c,0.00,3,1,0.024,0.023,0.027,0.466,0.000,0.000,1,20
Asterisk,c,0.00,3,1,0.024,0.022,0.031,0.387,0.000,0.000,2,15
Asterisk,c,0.00,3,1,0.024,0.027,0.010,0.430,0.000,0.000,3,21
Asterisk,c,0.00,3,1,0.024,0.021,0.034,0.321,0.000,0.000,4,11
Asterisk,c,0.00,3,2,0.024,0.025,0.017,0.302,0.000,0.000,0,12
Asterisk,c,0.00,3,2,0.024,0.023,0.027,0.333,0.000,0.000,1,12
Asterisk,c,0.00,3,2,0.024,0.022,0.031,0.292,0.000,0.000,2,11
Asterisk,c,0.00,3,2,0.024,0.027,0.010,0.309,0.000,0.000,3,13
