program,model,filter,plus,minus,AD,AD train,AD test,best train,predicted,best test,fold,dwc
Pidgin,m,0.90,x,x,0.019,0.021,0.011,0.020,0.015,0.016,2,566
Pidgin,m,0.90,x,x,0.019,0.016,0.029,0.018,0.015,0.043,3,568
Pidgin,m,0.90,x,x,0.019,0.017,0.025,0.021,0.000,0.027,4,584
VLC,m,0.90,x,x,0.064,0.063,0.069,0.105,0.083,0.213,0,493
VLC,m,0.90,x,x,0.064,0.065,0.061,0.088,0.072,0.108,1,502
VLC,m,0.90,x,x,0.064,0.069,0.044,0.105,0.086,0.106,2,516
VLC,m,0.90,x,x,0.064,0.067,0.052,0.109,0.000,0.152,3,504
VLC,m,0.90,x,x,0.064,0.057,0.094,0.114,0.057,0.129,4,510
loo,m,0.90,x,x,0.075,0.107,0.024,0.129,0.031,0.052,Asterisk,1534
loo,m,0.90,x,x,0.075,0.050,0.173,0.063,0.242,0.244,FFmpeg,1875
loo,m,0.90,x,x,0.075,0.070,0.240,0.095,0.253,0.284,LibPNG,2138
loo,m,0.90,x,x,0.075,0.093,0.019,0.135,0.016,0.022,Pidgin,1862
loo,m,0.90,x,x,0.075,0.076,0.064,0.100,0.087,0.091,VLC,1873
loo,m,0.90,x,x,0.075,0.063,0.414,0.080,0.409,0.409,LibTIFF,2109
Asterisk,m,0.99,x,x,0.024,0.025,0.017,0.047,0.000,0.051,0,477
Asterisk,m,0.99,x,x,0.024,0.023,0.027,0.053,0.031,0.132,1,476
Asterisk,m,0.99,x,x,0.024,0.022,0.031,0.042,0.076,0.081,2,483
Asterisk,m,0.99,x,x,0.024,0.027,0.010,0.052,0.037,0.037,3,474
Asterisk,m,0.99,x,x,0.024,0.021,0.034,0.050,0.000,0.062,4,468
VDISC,m,0.99,0,0,0.280,0.280,0.281,0.228,0.223,0.223,0,21896
VDISC,m,0.99,0,0,0.280,0.280,0.279,0.228,0.223,0.223,1,21977
VDISC,m,0.99,0,0,0.280,0.280,0.280,0.229,0.222,0.222,2,21931
VDISC,m,0.99,0,0,0.280,0.280,0.282,0.228,0.223,0.223,3,21797
VDISC,m,0.99,0,0,0.280,0.281,0.279,0.228,0.222,0.222,4,21924
FFmpeg,m,0.99,x,x,0.174,0.172,0.178,0.235,0.210,0.215,0,254
FFmpeg,m,0.99,x,x,0.174,0.174,0.170,0.236,0.200,0.203,1,258
FFmpeg,m,0.99,x,x,0.174,0.173,0.174,0.228,0.216,0.255,2,264
FFmpeg,m,0.99,x,x,0.174,0.177,0.158,0.223,0.255,0.263,3,254
FFmpeg,m,0.99,x,x,0.174,0.170,0.187,0.219,0.269,0.276,4,249
LibPNG,m,0.99,x,x,0.240,0.210,0.345,0.317,0.227,0.234,0,46
LibPNG,m,0.99,x,x,0.240,0.257,0.165,0.282,0.405,0.441,1,47
LibPNG,m,0.99,x,x,0.240,0.226,0.292,0.262,0.364,0.469,2,53
LibPNG,m,0.99,x,x,0.240,0.250,0.200,0.281,0.238,0.349,3,47
LibPNG,m,0.99,x,x,0.240,0.256,0.169,0.308,0.143,0.179,4,51
LibTIFF,m,0.99,x,x,0.418,0.414,0.435,0.514,0.391,0.405,0,68
LibTIFF,m,0.99,x,x,0.418,0.380,0.542,0.464,0.517,0.514,1,77
LibTIFF,m,0.99,x,x,0.418,0.428,0.378,0.486,0.487,0.500,2,76
LibTIFF,m,0.99,x,x,0.418,0.428,0.378,0.482,0.583,0.618,3,74
LibTIFF,m,0.99,x,x,0.418,0.439,0.318,0.526,0.272,0.287,4,76
Pidgin,m,0.99,x,x,0.019,0.019,0.018,0.016,0.026,0.026,0,288
Pidgin,m,0.99,x,x,0.019,0.021,0.011,0.019,0.014,0.025,1,299
Pidgin,m,0.99,x,x,0.019,0.021,0.011,0.019,0.013,0.013,2,295
Pidgin,m,0.99,x,x,0.019,0.016,0.029,0.016,0.000,0.047,3,296
Pidgin,m,0.99,x,x,0.019,0.017,0.025,0.022,0.000,0.018,4,302
VLC,m,0.99,x,x,0.064,0.063,0.069,0.082,0.147,0.217,0,250
VLC,m,0.99,x,x,0.064,0.065,0.061,0.095,0.056,0.056,1,258
VLC,m,0.99,x,x,0.064,0.069,0.044,0.098,0.061,0.067,2,259
VLC,m,0.99,x,x,0.064,0.067,0.052,0.102,0.053,0.098,3,253
VLC,m,0.99,x,x,0.064,0.057,0.094,0.106,0.071,0.077,4,255
loo,m,0.99,x,x,0.075,0.107,0.024,0.128,0.035,0.051,Asterisk,782
loo,m,0.99,x,x,0.075,0.050,0.173,0.077,0.120,0.243,FFmpeg,973
loo,m,0.99,x,x,0.075,0.070,0.240,0.097,0.253,0.299,LibPNG,1098
loo,m,0.99,x,x,0.075,0.093,0.019,0.140,0.014,0.020,Pidgin,949
loo,m,0.99,x,x,0.075,0.076,0.064,0.102,0.092,0.109,VLC,968
loo,m,0.99,x,x,0.075,0.063,0.414,0.081,0.409,0.418,LibTIFF,1087
